Year,Facility,Attendance
2014,Ft Niagara,599586
2014,Seneca Lake St Pk,144200
2014,Chaumont Boat Launch,47549
2014,Midway State Park,89838
2014,Ganondagan,45179
2014,Caumsett St Pk,460254
2014,Bowman Lake St Pk,51589
2014,Chenango Valley St Pk,173960
2014,Bayswater Point St Pk,17566
2014,Allan Treman Marina,210543
2014,Senate House,29900
2014,High Tor St Pk,21524
2014,Higley Flow St Park,46564
2014,Herkimer Home,14042
2014,Chittengo Lndg,0
2014,Jacques Cartier St Pk,22022
2014,Tallman Mountain St Pk,293615
2014,Cold Spring Harbor,165484
2014,Whirlpool,306841
2014,Clermont,119091
2014,Hudson Highlands,224015
2014,Heckscher St Park,982530
2014,Fort Montgomery,46335
2014,Wilson Tuscarora St Pk,193568
2014,Saratoga Springs,3014277
2014,Beechwood,0
2014,Washington Headquarters,18673
2014,Clinton House,0
2014,Lake Erie St Pk,97565
2014,Black River Trail,77942
2014,Braddock Bay,39271
2014,Saratoga Lake Boat Lnch,125144
2014,Moreau Lake St Pk,326564
2014,Marsha P. Johnson State Park (former East River State Park until 2020),1464993
2014,Sandy Island Beach,33276
2014,Appalachian Trail,8514
2014,Joseph Davis St Pk,0
2014,Haverstraw Beach,30152
2014,Sterling Forest,266944
2014,Pixley Falls State Park,27981
2014,Canadaigua Btlau Ontrio,43746
2014,Montauk Point,816970
2014,Oriskany Battlefield,3882
2014,Lakeside Beach St Pk,77326
2014,Schodack Island,125466
2014,Waterson Point Docking,1600
2014,Clark Reservation,68371
2014,Belmont Lakes St Pk,578226
2014,Schoharie Crossing,56503
2014,Genesee Valley Greenway,39087
2014,Staatsburgh Shs,47619
2014,Keewaydin St Park,55749
2014,Letchworth State Park,644441
2014,Steuben Memorial,0
2014,Pinnacle Golf,6055
2014,Napeague State Park,65985
2014,Wellesley Island St Pk,204017
2014,Montauk Downs,120860
2014,Canadarago Boat Lnch,23045
2014,Hempstead Lake St Pk,323863
2014,Harriman Hiker Trail,64778
2014,Fort Ontario,116920
2014,Coles Creek,175087
2014,Allegany Quaker Area,711217
2014,Battle Isl Golf Course,29291
2014,Clay Pit Ponds,25343
2014,Genesee River Park,2455
2014,Beaver Island,276888
2015,Planting Fields A,211338
2015,Whirlpool,347761
2015,Finger Lakes Admin.,0
2015,Wildwood State Park,304321
2015,Evangola St Pk,141351
2015,Thompson Lake St Pk,68797
2015,Ft. Niagara Boat Launch,0
2015,Philipse Manor,25044
2015,Tallman Mountain St Pk,300319
2015,Fort Montgomery,53197
2015,Braddock Bay,43339
2015,Pixley Falls State Park,26905
2015,Lodi Point Marina/Boat,41472
2015,Pinnacle Golf,0
2015,Point Au Roche,78150
2015,F D Roosevelt,555074
2015,John Boyd Thacher Pk,309263
2015,Four  Mile Creek,80475
2015,Long Point Marina,99021
2015,Taconic Outdoor Education Center,23252
2015,Point Au Roche Boat Lau,12952
2015,Fort Ontario,133499
2015,Ft Niagara,720137
2015,Brentwood Sp,682686
2015,Pine Grove Boatlaunch,14041
2015,Taughannock Falls St Pk,560835
2015,James Baird,129890
2015,Fair Haven St Pk,297945
2015,Sunset Bay MarinePark,0
2015,Bristol Beach,11412
2015,Reservoir St Pk,163419
2015,Bowman Lake St Pk,61220
2015,Appalachian Trail,12683
2015,John Brown Farm,46952
2015,Fillmore Glen St Pk,108760
2015,Bayard C. A.,248619
2015,Johnson Hall,53461
2015,Riverbank Fitness Cntr,12624
2015,Schunnemunk State Park,51993
2015,Lake Erie St Pk,105170
2015,Canoe-Picnic Pnt River,8723
2015,Clark Reservation,73697
2015,Schoharie Crossing,75849
2015,Keewaydin St Park,54680
2015,Canadarago Boat Lnch,25325
2015,Clay Pit Ponds,29903
2015,Allegany Quaker Area,736589
2015,Schodack Island,113167
2015,Clarence Fahnestock,284326
2015,Staatsburgh SHS,43068
2015,Saratoga Springs,2584669
2015,Clinton House,0
2015,Wilson Tuscarora St Pk,205651
2015,Sterling Forest,325884
2015,Saratoga Lake Boat Lnch,99803
2015,Lakeside Beach St Pk,79560
2015,Cold Spring Harbor,165198
2015,Canadaigua Btlau Ontrio,36761
2015,Sandy Island Beach,33932
2015,Joseph Davis St Pk,0
2015,Clermont,119652
2015,Chittengo Lndg,0
2015,Springbrook Greens,0
2015,Schuyler Mansion,5592
2015,Cedar Island River Park,1862
2015,Knox Headquarters,10733
2015,Cayuga Lake St Pk,143384
2015,Shadmore,41295
2015,Cedar Pnt River Park,80670
2015,Soaring Eagles Golf Course,26543
2015,Knox Farm Sp,117887
2015,Chaumont Boat Launch,53399
2015,Seneca Lake St Pk,132622
2015,Allan Treman Marina,266112
2015,Caumsett St Pk,467506
2015,Chenango Valley St Pk,173758
2015,Senate House,34752
2015,Cherry Plain St Pk,22877
2015,Kring Point,58811
2015,Selkirk Shores,100397
2015,Southwick Beach St Pk,124555
2015,Chimney Bluffs,97099
2015,Keuka Lake St Pk,116283
2015,Sebago Lake,130479
2015,Captree St Pk,1170881
2015,Chittenango Fls St Pk,54712
2015,Woodlawn Beach,0
2015,Sam's Point,65685
2015,Coles Creek,155274
