Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Longitude,Latitude
Keewaydin,State Park,10,Jefferson,N,Y,Y,N,N,-75.929711027,44.3234302144
Keuka Lake,State Park,4,Yates,N,N,Y,N,Y,-77.1285833589,42.5821825522
Knox Farm,State Park,1,Erie,N,N,N,N,N,-78.6477499359,42.7738672657
Knox Headquarters,State Historic Site,8,Orange,N,N,N,N,N,-74.0478219441,41.4534352252
Kring Point,State Park,10,Jefferson,N,Y,Y,N,Y,-75.8561585397,44.3771887503
Lake Erie,State Park,2,Chautauqua,N,Y,Y,N,Y,-79.431417873,42.4228907897
Lake Lauderdale,State Park,11,Washington,N,N,N,N,Y,-73.3704151279,43.0850856219
Lake Superior,State Park,8,Sullivan,N,N,N,N,Y,-74.8794264796,41.6679305297
Lake Taghkanic,State Park,7,Columbia,N,Y,Y,N,Y-M,-73.7058878188,42.092881818
Lakeside Beach,State Park,3,Orleans,N,Y,Y,N,N,-78.2437024878,43.3663835822
Letchworth,State Park,3,Liv/Wyo,N,Y,Y,N,N,-77.9757692236,42.6459213488
Lodi Point Marine Park,Marine Facility,4,Seneca,N,N,Y,N,N,-76.8768305442,42.6182465855
Long Point,State Park,4,Cayuga,N,N,Y,N,Y,-76.6984092825,42.7174110413
Long Point,State Park,2,Chautauqua,N,N,Y,N,Y,-79.4109114045,42.1787606524
Long Point,State Park,10,Jefferson,N,Y,Y,N,N,-76.2170574817,44.0284402226
Lorenzo,State Historic Site,5,Madison,N,N,N,N,N,-75.8656999617,42.9229020904
Macomb Reservation,State Park,10,Clinton,N,Y,Y,N,Y,-73.6124077611,44.6178649163
Margaret Lewis Norrie,State Park,7,Dutchess,N,Y,N,N,N,-73.9389551372,41.8415365481
Mark Twain,State Park,4,Chemung,Y,N,N,N,N,-76.8356909125,42.211660694
Mary Island,State Park,10,Jefferson,N,Y,N,N,N,-75.9215781208,44.3655711042
Max V. Shaul,State Park,11,Schoharie,N,Y,Y,N,N,-74.4109223135,42.5479937717
Mexico Point,State Park,5,Oswego,N,N,N,N,N,-76.2584640776,43.5199984003
Mexico Point Marine Park,Marine Facility,5,Oswego,N,N,N,N,N,-76.2551432086,43.5233750364
Midway,State Park,2,Chautauqua,N,N,N,N,N,-79.4224274036,42.2008724801
Mine Kill,State Park,11,Schoharie,N,N,Y,N,N,-74.4611210967,42.4340245355
Minnewaska,State Park Preserve,8,Ulster,N,N,N,Y,Y-M,-74.2932352939,41.7158154916
Mohawk River,State Park,11,Schenectady,N,N,N,N,N,-73.8496398366,42.8004093799
Montauk Downs,State Park,9,Suffolk,Y,N,N,N,N,-71.9385278002,41.0492876822
Montauk Point,State Park,9,Suffolk,N,N,Y,N,N,-71.8813883492,41.0714502774
Moreau Lake,State Park,11,Saratoga,N,Y,Y,Y,Y,-73.7337768981,43.2332136686
Napeague,State Park,9,Suffolk,N,N,N,N,N,-72.0758973835,40.9932649957
New Windsor Cantonement,State Historic Site,8,Orange,N,N,N,N,N,-74.0594572677,41.4733927813
Newtown Battlefield,State Park,4,Chemung,N,Y,Y,N,N,-76.7363172694,42.0490265183
Niagara Falls,State Park,1,Niagara,N,N,N,Y,N,-79.0670195347,43.0867482021
Nissequogue River,State Park,9,Suffolk,N,N,Y,N,N,-73.2316962038,40.8986704423
Nyack Beach,State Park,8,Rockland,N,N,N,N,N,-73.9086544942,41.1271276953
Oak Orchard Marine Park,Marine Facility,3,Orleans,N,N,N,N,N,-78.2010190588,43.3681054695
Ogden & Ruth Livingston Mills,State Park,7,Dutchess,Y,N,N,N,N,-73.9348059546,41.8530053952
Olana,State Historic Site,7,Columbia,N,N,N,N,N,-73.8287595658,42.2145951381
Old Croton Aqueduct,State Historic Park,7,Westchester,N,N,N,N,N,-73.8631712826,41.1656638717
Old Erie Canal,State Historic Park,5,Onon/Mad/Oneida,N,N,N,N,N,-75.9217693491,43.0754747048
Old Fort Niagara,State Historic Site,1,Niagara,N,N,N,N,N,-79.0631143489,43.2625939108
Oquaga Creek,State Park,5,Broome/Delaware,N,Y,Y,N,Y,-75.4246793483,42.1780514491
Orient Beach,State Park,9,Suffolk,N,N,Y,N,Y,-72.271525252,41.1285513249
Oriskany Battlefield,State Historic Site,5,Oneida,N,N,N,N,N,-75.3667103924,43.176774697
