Year,Facility,Attendance,LastAttendance
2015,Genesee River ,1670,2455.0
2014,Genesee River ,2455,2990.0
2013,Genesee River ,2990,2655.0
2012,Genesee River ,2655,2636.0
2011,Genesee River ,2636,2363.0
2010,Genesee River ,2363,0.0
2009,Genesee River ,2262,1811.0
2008,Genesee River ,1811,1182.0
2007,Genesee River ,1182,851.0
2006,Genesee River ,851,578.0
2005,Genesee River ,578,0.0
2004,Genesee River ,0,0.0
2003,Genesee River ,0,70675.0
2020,Genesee Valley Greenway,70675,50133.0
2019,Genesee Valley Greenway,50133,47726.0
2018,Genesee Valley Greenway,47726,45401.0
2017,Genesee Valley Greenway,45401,44316.0
2016,Genesee Valley Greenway,44316,42777.0
2015,Genesee Valley Greenway,42777,39087.0
2014,Genesee Valley Greenway,39087,35779.0
2013,Genesee Valley Greenway,35779,32120.0
2012,Genesee Valley Greenway,32120,32954.0
2011,Genesee Valley Greenway,32954,37805.0
2010,Genesee Valley Greenway,37805,0.0
2009,Genesee Valley Greenway,39268,28545.0
2008,Genesee Valley Greenway,28545,10885.0
2007,Genesee Valley Greenway,10885,12432.0
2006,Genesee Valley Greenway,12432,7396.0
2005,Genesee Valley Greenway,7396,0.0
2004,Genesee Valley Greenway,0,0.0
2003,Genesee Valley Greenway,0,137973.0
2020,Gilbert Lake ,137973,202304.0
2019,Gilbert Lake ,202304,123097.0
2018,Gilbert Lake ,123097,106194.0
2017,Gilbert Lake ,106194,98893.0
2016,Gilbert Lake ,98893,92813.0
2015,Gilbert Lake ,92813,77959.0
2014,Gilbert Lake ,77959,96076.0
2013,Gilbert Lake ,96076,111206.0
2012,Gilbert Lake ,111206,97749.0
2011,Gilbert Lake ,97749,89999.0
2010,Gilbert Lake ,89999,0.0
2009,Gilbert Lake ,87784,86758.0
2008,Gilbert Lake ,86758,90101.0
2007,Gilbert Lake ,90101,79745.0
2006,Gilbert Lake ,79745,90337.0
2005,Gilbert Lake ,90337,84811.0
2004,Gilbert Lake ,84811,92440.0
2003,Gilbert Lake ,92440,177398.0
2020,Glimmerglass State ,177398,173453.0
2019,Glimmerglass State ,173453,185367.0
2018,Glimmerglass State ,185367,159331.0
2017,Glimmerglass State ,159331,155974.0
2016,Glimmerglass State ,155974,182822.0
2015,Glimmerglass State ,182822,153882.0
2014,Glimmerglass State ,153882,137484.0
2013,Glimmerglass State ,137484,140937.0
2012,Glimmerglass State ,140937,120293.0
2011,Glimmerglass State ,120293,105783.0
2010,Glimmerglass State ,105783,0.0
2009,Glimmerglass State ,99380,90950.0
2008,Glimmerglass State ,90950,95049.0
2007,Glimmerglass State ,95049,96429.0
2006,Glimmerglass State ,96429,95246.0
2005,Glimmerglass State ,95246,76524.0
2004,Glimmerglass State ,76524,80943.0
2003,Glimmerglass State ,80943,73111.0
2020,Golden Hill ,73111,73554.0
2019,Golden Hill ,73554,79024.0
2018,Golden Hill ,79024,77359.0
2017,Golden Hill ,77359,81227.0
2016,Golden Hill ,81227,78723.0
2015,Golden Hill ,78723,70734.0
2014,Golden Hill ,70734,76662.0
2013,Golden Hill ,76662,77553.0
2012,Golden Hill ,77553,73193.0
2011,Golden Hill ,73193,75553.0
2010,Golden Hill ,75553,0.0
2009,Golden Hill ,239893,320403.0
2008,Golden Hill ,320403,294268.0
2007,Golden Hill ,294268,258704.0
2006,Golden Hill ,258704,257111.0
2005,Golden Hill ,257111,237098.0
2004,Golden Hill ,237098,226076.0
2003,Golden Hill ,226076,12007.0
2020,Goosepond Mountain,12007,5894.0
2019,Goosepond Mountain,5894,6227.0
2018,Goosepond Mountain,6227,6582.0
2017,Goosepond Mountain,6582,6315.0
2016,Goosepond Mountain,6315,4726.0
2015,Goosepond Mountain,4726,2967.0
2014,Goosepond Mountain,2967,2447.0
2013,Goosepond Mountain,2447,3558.0
2012,Goosepond Mountain,3558,4459.0
2011,Goosepond Mountain,4459,2179.0
2010,Goosepond Mountain,2179,0.0
2009,Goosepond Mountain,1179,1153.0
2008,Goosepond Mountain,1153,1254.0
2007,Goosepond Mountain,1254,1720.0
2006,Goosepond Mountain,1720,940.0
2005,Goosepond Mountain,940,3.0
2004,Goosepond Mountain,3,0.0
2003,Goosepond Mountain,0,276883.0
2020,Grafton Lakes ,276883,261190.0
2019,Grafton Lakes ,261190,267637.0
2018,Grafton Lakes ,267637,245272.0
2017,Grafton Lakes ,245272,255114.0
2016,Grafton Lakes ,255114,252499.0
2015,Grafton Lakes ,252499,240063.0
2014,Grafton Lakes ,240063,257218.0
2013,Grafton Lakes ,257218,293312.0
2012,Grafton Lakes ,293312,220714.0
